 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS= 0.000 a1= 0.000 a3=-0.200 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 0.000 -.200  21.8738  3.1277 18.746   2.619   0.649  -0.592   0.452 0.989  1.049
 0.000 -.190  21.1697  3.1744 17.995   2.576   0.757  -0.562   0.404 0.989  1.047
 0.000 -.180  20.4877  3.2104 17.277   2.542   0.876  -0.547   0.340 0.990  1.044
 0.000 -.170  19.8321  3.2388 16.593   2.500   1.008  -0.529   0.261 0.990  1.042
 0.000 -.160  19.2061  3.2626 15.944   2.437   1.153  -0.493   0.165 0.991  1.040
 0.000 -.150  18.6135  3.2846 15.329   2.322   1.314  -0.403   0.052 0.992  1.039
 0.000 -.140  18.0573  3.3077 14.750   2.189   1.489  -0.294  -0.077 0.992  1.037
 0.000 -.130  17.5430  3.3343 14.209   2.067   1.680  -0.192  -0.222 0.993  1.035
 0.000 -.120  17.0703  3.3661 13.704   1.969   1.885  -0.107  -0.381 0.993  1.034
 0.000 -.110  16.6425  3.4048 13.238   1.898   1.911  -0.043  -0.361 0.993  1.032
 0.000 -.100  16.2603  3.4515 12.809   1.854   1.923   0.001  -0.327 0.994  1.031
 0.000 -.090  15.9260  3.5060 12.420   1.836   1.950   0.028  -0.308 0.994  1.030
 0.000 -.080  15.6376  3.5669 12.071   1.838   1.990   0.042  -0.303 0.994  1.029
 0.000 -.070  15.3942  3.6327 11.762   1.860   2.038   0.042  -0.307 0.995  1.028
 0.000 -.060  15.1930  3.7002 11.493   1.895   2.092   0.033  -0.319 0.995  1.027
 0.000 -.050  15.0308  3.7661 11.265   1.937   2.147   0.018  -0.337 0.995  1.026
 0.000 -.040  14.9045  3.8268 11.078   1.981   2.200   0.001  -0.356 0.995  1.026
 0.000 -.030  14.8104  3.8784 10.932   2.022   2.246  -0.016  -0.375 0.995  1.025
 0.000 -.020  14.7457  3.9178 10.828   2.056   2.282  -0.030  -0.390 0.995  1.025
 0.000 -.010  14.7079  3.9426 10.765   2.077   2.305  -0.039  -0.400 0.995  1.025
 0.000 0.000  14.6959  3.9514 10.745   2.085   2.312  -0.042  -0.403 0.995  1.025
 0.000 0.010  14.7079  3.9426 10.765   2.077   2.305  -0.039  -0.400 0.995  1.025
 0.000 0.020  14.7457  3.9178 10.828   2.056   2.282  -0.030  -0.390 0.995  1.025
 0.000 0.030  14.8104  3.8784 10.932   2.022   2.246  -0.016  -0.375 0.995  1.025
 0.000 0.040  14.9044  3.8268 11.078   1.981   2.200   0.001  -0.356 0.995  1.026
 0.000 0.050  15.0307  3.7661 11.265   1.937   2.147   0.018  -0.337 0.995  1.026
 0.000 0.060  15.1928  3.7002 11.493   1.895   2.092   0.033  -0.319 0.995  1.027
 0.000 0.070  15.3941  3.6327 11.761   1.860   2.038   0.042  -0.307 0.995  1.028
 0.000 0.080  15.6375  3.5669 12.071   1.838   1.990   0.042  -0.303 0.994  1.029
 0.000 0.090  15.9259  3.5060 12.420   1.836   1.950   0.028  -0.308 0.994  1.030
 0.000 0.100  16.2603  3.4515 12.809   1.854   1.923   0.001  -0.327 0.994  1.031
 0.000 0.110  16.6425  3.4048 13.238   1.898   1.911  -0.043  -0.361 0.993  1.032
 0.000 0.120  17.0703  3.3661 13.704   1.969   1.885  -0.107  -0.381 0.993  1.034
 0.000 0.130  17.5430  3.3343 14.209   2.067   1.680  -0.192  -0.222 0.993  1.035
 0.000 0.140  18.0573  3.3077 14.750   2.189   1.489  -0.294  -0.077 0.992  1.037
 0.000 0.150  18.6135  3.2846 15.329   2.322   1.314  -0.403   0.052 0.992  1.039
 0.000 0.160  19.2061  3.2626 15.944   2.437   1.153  -0.493   0.165 0.991  1.040
 0.000 0.170  19.8321  3.2388 16.593   2.500   1.008  -0.529   0.261 0.990  1.042
 0.000 0.180  20.4877  3.2104 17.277   2.542   0.876  -0.547   0.340 0.990  1.044
 0.000 0.190  21.1697  3.1744 17.995   2.576   0.757  -0.562   0.404 0.989  1.047
 0.000 0.200  21.8738  3.1277 18.746   2.619   0.649  -0.592   0.452 0.989  1.049
 0.010 -.200  21.5025  2.8739 18.629   2.539   0.386  -0.621   0.569 0.989  1.049
 0.010 -.190  20.8143  2.9297 17.885   2.435   0.505  -0.529   0.518 0.989  1.046
 0.010 -.180  20.1497  2.9764 17.173   2.350   0.635  -0.462   0.454 0.990  1.044
 0.010 -.170  19.5122  3.0164 16.496   2.285   0.775  -0.420   0.376 0.990  1.042
 0.010 -.160  18.9040  3.0522 15.852   2.244   0.928  -0.404   0.284 0.991  1.040
 0.010 -.150  18.3285  3.0857 15.243   2.228   1.093  -0.413   0.178 0.992  1.038
 0.010 -.140  17.7890  3.1196 14.669   2.085   1.272  -0.293   0.056 0.992  1.037
 0.010 -.130  17.2881  3.1565 14.132   1.938   1.463  -0.166  -0.079 0.992  1.035
 0.010 -.120  16.8313  3.1987 13.633   1.822   1.667  -0.063  -0.228 0.993  1.034
 0.010 -.110  16.4183  3.2480 13.170   1.737   1.881   0.017  -0.387 0.993  1.032
 0.010 -.100  16.0514  3.3052 12.746   1.682   1.942   0.074  -0.393 0.994  1.031
 0.010 -.090  15.7296  3.3699 12.360   1.654   1.965   0.113  -0.362 0.994  1.030
 0.010 -.080  15.4550  3.4415 12.014   1.649   2.001   0.135  -0.343 0.994  1.029
 0.010 -.070  15.2247  3.5177 11.707   1.663   2.046   0.145  -0.336 0.995  1.028
 0.010 -.060  15.0358  3.5952 11.441   1.691   2.096   0.144  -0.336 0.995  1.027
 0.010 -.050  14.8850  3.6704 11.215   1.727   2.148   0.137  -0.343 0.995  1.026
 0.010 -.040  14.7684  3.7392 11.029   1.766   2.199   0.127  -0.353 0.995  1.026
 0.010 -.030  14.6828  3.7980 10.885   1.804   2.243   0.115  -0.364 0.995  1.025
 0.010 -.020  14.6244  3.8428 10.782   1.834   2.277   0.105  -0.373 0.995  1.025
 0.010 -.010  14.5904  3.8708 10.720   1.853   2.299   0.099  -0.380 0.995  1.025
 0.010 0.000  14.5792  3.8803 10.699   1.860   2.306   0.096  -0.382 0.995  1.025
 0.010 0.010  14.5904  3.8708 10.720   1.853   2.299   0.099  -0.380 0.995  1.025
 0.010 0.020  14.6244  3.8428 10.782   1.834   2.277   0.105  -0.373 0.995  1.025
 0.010 0.030  14.6826  3.7980 10.885   1.804   2.243   0.115  -0.364 0.995  1.025
 0.010 0.040  14.7683  3.7392 11.029   1.766   2.199   0.127  -0.353 0.995  1.026
 0.010 0.050  14.8849  3.6704 11.214   1.727   2.148   0.137  -0.343 0.995  1.026
 0.010 0.060  15.0357  3.5952 11.441   1.691   2.096   0.144  -0.336 0.995  1.027
 0.010 0.070  15.2246  3.5177 11.707   1.663   2.046   0.145  -0.336 0.995  1.028
 0.010 0.080  15.4549  3.4415 12.013   1.649   2.001   0.135  -0.343 0.994  1.029
 0.010 0.090  15.7296  3.3699 12.360   1.654   1.965   0.113  -0.362 0.994  1.030
 0.010 0.100  16.0514  3.3052 12.746   1.682   1.942   0.074  -0.393 0.994  1.031
 0.010 0.110  16.4183  3.2480 13.170   1.737   1.881   0.017  -0.387 0.993  1.032
 0.010 0.120  16.8313  3.1987 13.633   1.822   1.667  -0.063  -0.228 0.993  1.034
 0.010 0.130  17.2881  3.1565 14.132   1.938   1.463  -0.166  -0.079 0.992  1.035
 0.010 0.140  17.7890  3.1196 14.669   2.085   1.272  -0.293   0.056 0.992  1.037
 0.010 0.150  18.3285  3.0857 15.243   2.228   1.093  -0.413   0.178 0.992  1.038
 0.010 0.160  18.9040  3.0522 15.852   2.244   0.928  -0.404   0.284 0.991  1.040
 0.010 0.170  19.5122  3.0164 16.496   2.285   0.775  -0.420   0.376 0.990  1.042
 0.010 0.180  20.1497  2.9764 17.173   2.350   0.635  -0.462   0.454 0.990  1.044
 0.010 0.190  20.8143  2.9297 17.885   2.435   0.505  -0.529   0.518 0.989  1.046
 0.010 0.200  21.5025  2.8739 18.629   2.539   0.386  -0.621   0.569 0.989  1.049
 0.020 -.200  21.1489  2.6281 18.521   2.439   0.163  -0.626   0.653 0.989  1.049
 0.020 -.190  20.4805  2.6969 17.784   2.328   0.293  -0.523   0.599 0.989  1.046
 0.020 -.180  19.8377  2.7592 17.079   2.233   0.434  -0.443   0.535 0.990  1.044
 0.020 -.170  19.2218  2.8151 16.407   2.158   0.586  -0.387   0.458 0.990  1.042
 0.020 -.160  18.6361  2.8670 15.769   2.107   0.748  -0.357   0.370 0.991  1.040
