 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS=-0.100 a1= 0.000 a3= 0.000 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 -.100 0.000  15.9663  4.3037 11.663   2.576   2.620  -0.334  -0.559 0.994  1.028
 -.100 0.040  16.3783  4.3485 12.030   2.477   2.792  -0.246  -0.674 0.994  1.029
 -.100 0.080  17.5807  4.4554 13.125   2.399   3.339  -0.166  -1.116 0.993  1.032
 -.100 0.120  19.4746  4.5461 14.928   2.681   3.591  -0.366  -1.359 0.992  1.037
 -.100 0.160  21.9307  4.5220 17.409   3.041   3.180  -0.576  -1.123 0.990  1.045
 -.100 0.200  24.7759  4.2515 20.524   3.243   2.456  -0.703  -0.745 0.987  1.054
 0.100 0.000  17.6795  7.0680 10.612   5.152   5.009  -1.661  -1.432 0.994  1.027
 0.100 0.040  17.4210  6.5023 10.919   4.856   4.547  -1.610  -1.290 0.994  1.028
 0.100 0.080  16.9239  5.0887 11.835   4.033   3.321  -1.417  -0.847 0.993  1.031
 0.100 0.120  16.7167  3.3793 13.337   2.970   1.879  -1.130  -0.340 0.992  1.035
 0.100 0.160  17.2986  1.9013 15.397   1.579   0.653  -0.400   0.069 0.990  1.042
 0.100 0.200  18.9911  1.0194 17.972   0.757  -0.299   0.052   0.510 0.987  1.050
 0.300 0.000  11.0887 -0.9038 11.993  -1.363  -0.132   0.389   0.202 0.983  1.047
 0.300 0.040  11.8503 -0.4104 12.261  -1.014   0.246   0.292   0.066 0.983  1.048
 0.300 0.080  14.0623  1.0027 13.060  -0.449   1.241   0.458  -0.247 0.982  1.050
 0.300 0.120  17.0747  2.7051 14.370   1.075   2.443  -0.101  -0.712 0.980  1.055
 0.300 0.160  19.5109  3.3488 16.162   1.889   2.404  -0.491  -0.453 0.978  1.061
 0.300 0.200  20.8440  2.4477 18.396   0.866   2.110   0.030  -0.559 0.976  1.068
 0.500 0.000  12.1819 -1.9457 14.128  -1.163  -1.631   0.601   0.248 0.956  1.093
 0.500 0.040  13.6132 -0.7559 14.369   0.192  -1.345  -0.099   0.496 0.956  1.094
 0.500 0.080  16.7214  1.6334 15.088   1.553   0.522  -0.382  -0.059 0.955  1.097
 0.500 0.120  20.2027  3.9376 16.265   3.215   1.988  -1.081  -0.185 0.954  1.101
 0.500 0.160  23.0142  5.1445 17.870   3.438   3.595  -1.054  -0.835 0.952  1.106
 0.500 0.200  24.4589  4.5968 19.862   2.586   3.196  -0.357  -0.828 0.950  1.113
 0.700 0.000  19.0484  5.2231 13.825   5.881   2.089  -2.177  -0.570 0.902  1.178
 0.700 0.040  16.7963  2.7287 14.068   2.263   0.785  -0.395   0.076 0.902  1.179
 0.700 0.080  14.7382 -0.0476 14.786   0.082  -0.193  -0.294   0.358 0.902  1.181
 0.700 0.120  15.5348 -0.4209 15.956  -0.753  -0.006  -0.142   0.480 0.901  1.183
 0.700 0.160  17.1805 -0.3593 17.540  -1.319   0.998   0.101  -0.139 0.900  1.187
 0.700 0.200  19.2469 -0.2314 19.478  -0.480   0.284  -0.044   0.009 0.899  1.192
 0.900 0.000 -21.4792 -2.5619-18.917  -4.072   1.615   0.712  -0.817 0.807  1.276
 0.900 0.040 -20.5999 -2.1003-18.500  -1.574  -0.981  -0.092   0.547 0.808  1.276
 0.900 0.080 -17.0323  0.2365-17.269   1.248  -0.936  -0.642   0.567 0.809  1.276
 0.900 0.120 -11.0032  4.2910-15.294   3.724   2.286  -1.395  -0.324 0.811  1.277
 0.900 0.160  -7.7846  4.8916-12.676   2.004   4.115  -0.760  -0.467 0.813  1.277
 0.900 0.200  -7.2675  2.2794 -9.547   0.199   3.170  -0.434  -0.656 0.816  1.278
