,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
10216,0.011,0.111,16.4364,3.2286,13.208,1.733,1.839,0.012,-0.355,0.993,1.032
10251,0.456,0.0,9.8814,-3.8274,13.709,-2.814,-2.493,0.834,0.645,0.964,1.08
10262,0.567,0.022,15.6479,1.0346,14.613,1.804,-0.179,-0.462,-0.128,0.942,1.117
10296,0.9,0.111,-12.6788,3.0797,-15.758,3.766,1.057,-1.714,-0.029,0.81,1.277
10298,0.9,0.155,-7.8536,5.1147,-12.968,2.374,4.226,-0.948,-0.537,0.813,1.277
10245,0.344,0.089,13.5921,-0.1622,13.754,-0.583,-0.029,0.328,0.123,0.977,1.059
10256,0.456,0.111,19.0631,3.4834,15.58,1.634,2.027,0.136,-0.313,0.962,1.087
10238,0.233,0.155,18.5462,3.0818,15.464,2.405,2.248,-0.986,-0.586,0.984,1.051
10277,0.678,0.133,16.1175,-0.6208,16.738,-1.697,0.693,0.247,0.136,0.909,1.173
10234,0.233,0.067,18.0034,5.8792,12.124,3.891,4.078,-1.046,-1.045,0.987,1.04
10218,0.011,0.155,18.6048,3.0468,15.558,2.214,0.981,-0.396,0.248,0.991,1.039
10269,0.567,0.178,21.6732,2.6555,19.018,0.713,2.363,0.011,-0.432,0.937,1.131
10202,-0.1,0.022,16.0938,4.318,11.776,2.54,2.672,-0.302,-0.591,0.994,1.028
10231,0.233,0.0,17.9558,6.6046,11.351,3.613,4.426,-0.514,-0.92,0.988,1.038
10207,-0.1,0.133,20.2294,4.5554,15.674,2.891,3.692,-0.531,-1.496,0.991,1.04
10217,0.011,0.133,17.4193,3.1268,14.292,1.973,1.38,-0.205,-0.021,0.992,1.036
10266,0.567,0.111,17.7886,1.4497,16.339,0.548,1.22,-0.28,-0.038,0.94,1.122
10201,-0.1,0.0,15.9663,4.3037,11.663,2.576,2.62,-0.334,-0.559,0.994,1.028
10227,0.122,0.133,16.8634,2.9013,13.962,1.893,1.353,-0.322,-0.023,0.99,1.038
10265,0.567,0.089,16.7519,1.053,15.699,0.896,0.751,-0.463,-0.13,0.941,1.12
10214,0.011,0.067,15.1428,3.5364,11.606,1.656,2.068,0.153,-0.341,0.995,1.028
10274,0.678,0.067,15.3873,0.5743,14.813,-0.029,0.451,0.082,0.07,0.91,1.168
10212,0.011,0.022,14.6275,3.8314,10.796,1.811,2.276,0.118,-0.373,0.995,1.025
10255,0.456,0.089,16.5882,1.6752,14.913,0.557,0.301,0.368,0.45,0.962,1.084
10250,0.344,0.2,21.6706,2.9763,18.694,1.327,2.135,-0.054,-0.432,0.972,1.076
10294,0.9,0.067,-18.4615,-0.7343,-17.727,-0.394,-0.747,0.201,0.206,0.808,1.276
10222,0.122,0.022,18.6277,7.864,10.764,5.744,5.265,-1.765,-1.38,0.993,1.028
10242,0.344,0.022,8.78,-3.7774,12.557,-1.98,-2.721,0.138,0.785,0.978,1.055
10290,0.789,0.2,18.0944,0.8218,17.273,-0.246,0.644,0.381,0.042,0.866,1.242
10210,-0.1,0.2,24.761,4.2537,20.507,3.242,2.459,-0.701,-0.746,0.987,1.054
10282,0.789,0.022,13.5868,2.0469,11.54,3.109,-1.057,-0.545,0.54,0.866,1.233
10248,0.344,0.155,19.9427,3.6317,16.311,2.484,2.571,-0.855,-0.568,0.974,1.068
10270,0.567,0.2,22.769,2.6304,20.139,1.297,1.745,-0.199,-0.213,0.936,1.135
10233,0.233,0.044,17.9678,6.2721,11.696,3.817,4.149,-0.828,-0.866,0.988,1.039
10225,0.122,0.089,17.3387,5.1892,12.15,3.611,3.036,-0.918,-0.54,0.992,1.033
10273,0.678,0.044,16.8132,2.3667,14.446,1.475,1.249,-0.157,-0.2,0.91,1.167
10291,0.9,0.0,-21.4152,-2.5402,-18.875,-4.069,1.644,0.71,-0.825,0.807,1.276
10229,0.122,0.178,17.7095,1.2786,16.431,0.882,0.408,-0.101,0.089,0.988,1.046
10286,0.789,0.111,13.6212,0.4699,13.151,-1.396,2.706,0.081,-0.92,0.865,1.236
10253,0.456,0.044,11.8516,-2.1611,14.013,-1.519,-1.874,0.53,0.702,0.963,1.081
10297,0.9,0.133,-8.389,6.0676,-14.457,3.802,4.522,-1.416,-0.84,0.811,1.277
10221,0.122,0.0,18.7541,8.0834,10.671,5.886,5.442,-1.805,-1.44,0.993,1.028
10288,0.789,0.155,16.2286,1.1215,15.107,-1.192,2.68,0.12,-0.487,0.866,1.239
10230,0.122,0.2,18.7426,0.849,17.894,0.724,0.02,-0.143,0.248,0.987,1.051
10236,0.233,0.111,18.164,4.6845,13.479,3.142,3.095,-0.842,-0.711,0.986,1.045
10260,0.456,0.2,24.0693,4.5176,19.552,2.685,3.257,-0.548,-0.876,0.957,1.1
10224,0.122,0.067,17.8149,6.3091,11.506,4.536,3.952,-1.297,-0.881,0.993,1.03
10220,0.011,0.2,21.4488,2.8477,18.601,2.522,0.362,-0.615,0.579,0.989,1.049
10249,0.344,0.178,21.0971,3.6575,17.44,2.078,2.915,-0.434,-0.901,0.973,1.072
10240,0.233,0.2,19.3726,1.3452,18.027,0.922,0.957,-0.473,-0.06,0.981,1.06
10208,-0.1,0.155,21.6249,4.5346,17.09,3.033,3.274,-0.585,-1.186,0.99,1.044
10263,0.567,0.044,15.738,0.9058,14.832,1.319,0.598,-0.381,-0.63,0.942,1.117
10203,-0.1,0.044,16.4733,4.3583,12.115,2.46,2.833,-0.232,-0.703,0.994,1.029
10284,0.789,0.067,12.0302,-0.1317,12.162,-0.188,-0.137,0.04,0.154,0.866,1.234
10232,0.233,0.022,17.9562,6.5188,11.437,3.655,4.328,-0.584,-0.88,0.988,1.038
10293,0.9,0.044,-20.3241,-1.9627,-18.361,-1.517,-1.046,0.061,0.539,0.808,1.276
10243,0.344,0.044,9.8407,-2.9583,12.799,-1.797,-2.053,0.278,0.614,0.978,1.056
10228,0.122,0.155,17.0853,1.9672,15.118,1.275,0.767,-0.16,0.085,0.989,1.042
10285,0.789,0.089,12.8565,0.1593,12.697,-0.752,1.131,-0.155,-0.065,0.866,1.235
10261,0.567,0.0,15.7239,1.1838,14.54,2.485,-0.465,-0.863,0.027,0.942,1.116
9486,0.8300000000000001,0.186,17.9282,,,,,,,,
9066,0.79,0.154,16.1368,,,,,,,,
8500,0.74,0.032,16.1489,,,,,,,,
8567,0.74,0.166,16.142,,,,,,,,
9772,0.86,0.152,13.5157,,,,,,,,
9201,0.81,0.02,10.8195,,,,,,,,
8184,0.7100000000000001,0.006,18.9467,,,,,,,,
4648,0.36,0.004,7.9677,,,,,,,,
9952,0.88,0.108,2.0753,,,,,,,,
9241,0.81,0.1,13.1719,,,,,,,,
10172,0.9,0.14400000000000002,-8.2329,,,,,,,,
10126,0.9,0.052000000000000005,-19.8867,,,,,,,,
9496,0.8400000000000001,0.004,3.8273,,,,,,,,
9835,0.87,0.076,3.3449,,,,,,,,
10033,0.89,0.068,-13.5595,,,,,,,,
9906,0.88,0.016,-6.3562,,,,,,,,
6007,0.49,0.096,18.0472,,,,,,,,
8917,0.78,0.058,12.3006,,,,,,,,
9320,0.8200000000000001,0.056,8.9439,,,,,,,,
4446,0.33999999999999997,0.004,8.5817,,,,,,,,
9899,0.88,0.002,-6.5279,,,,,,,,
10092,0.89,0.186,-2.914,,,,,,,,
5561,0.45000000000000007,0.012,9.8015,,,,,,,,
9670,0.8500000000000001,0.15,16.0449,,,,,,,,
112,-0.09000000000000001,0.022,16.3607,,,,,,,,
9864,0.87,0.134,9.3913,,,,,,,,
4282,0.31999999999999995,0.08,13.1928,,,,,,,,
3336,0.23,0.006,18.2417,,,,,,,,
2325,0.13,0.004,19.0648,,,,,,,,
2726,0.16,0.2,18.6857,,,,,,,,
4900,0.38,0.10400000000000001,15.8428,,,,,,,,
1724,0.07,0.014,16.0516,,,,,,,,
9514,0.8400000000000001,0.04,5.1417,,,,,,,,
107,-0.09000000000000001,0.012,16.28,,,,,,,,
3338,0.23,0.01,18.2403,,,,,,,,
10197,0.9,0.194,-7.3688,,,,,,,,
7845,0.67,0.136,16.3631,,,,,,,,
601,-0.05,0.192,23.2001,,,,,,,,
7555,0.64,0.162,18.4619,,,,,,,,
5150,0.4,0.2,23.009,,,,,,,,
9975,0.88,0.154,5.2642,,,,,,,,
9711,0.86,0.03,-0.9314,,,,,,,,
289,-0.08,0.17400000000000002,22.7152,,,,,,,,
7436,0.63,0.126,16.4889,,,,,,,,
9815,0.87,0.036000000000000004,-1.762,,,,,,,,
3482,0.24000000000000002,0.096,17.8786,,,,,,,,
10097,0.89,0.196,-2.7112,,,,,,,,
9442,0.8300000000000001,0.098,12.3892,,,,,,,,
1812,0.07,0.19,19.074,,,,,,,,
9583,0.8400000000000001,0.178,17.331,,,,,,,,
2620,0.15,0.19,18.2453,,,,,,,,
9302,0.8200000000000001,0.02,7.6261,,,,,,,,
4373,0.32999999999999996,0.06,11.294,,,,,,,,
