,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
10249,0.344,0.178,21.0971,3.6575,17.44,2.078,2.915,-0.434,-0.901,0.973,1.072
10234,0.233,0.067,18.0034,5.8792,12.124,3.891,4.078,-1.046,-1.045,0.987,1.04
10241,0.344,0.0,8.4075,-4.0692,12.477,-1.953,-2.954,0.006,0.831,0.979,1.055
10223,0.122,0.044,18.2844,7.2417,11.043,5.342,4.743,-1.656,-1.187,0.993,1.029
10284,0.789,0.067,12.0302,-0.1317,12.162,-0.188,-0.137,0.04,0.154,0.866,1.234
10288,0.789,0.155,16.2286,1.1215,15.107,-1.192,2.68,0.12,-0.487,0.866,1.239
10275,0.678,0.089,14.6011,-0.7198,15.321,-0.812,-0.245,-0.044,0.38,0.91,1.169
10251,0.456,0.0,9.8814,-3.8274,13.709,-2.814,-2.493,0.834,0.645,0.964,1.08
10297,0.9,0.133,-8.389,6.0676,-14.457,3.802,4.522,-1.416,-0.84,0.811,1.277
10238,0.233,0.155,18.5462,3.0818,15.464,2.405,2.248,-0.986,-0.586,0.984,1.051
10286,0.789,0.111,13.6212,0.4699,13.151,-1.396,2.706,0.081,-0.92,0.865,1.236
10273,0.678,0.044,16.8132,2.3667,14.446,1.475,1.249,-0.157,-0.2,0.91,1.167
10224,0.122,0.067,17.8149,6.3091,11.506,4.536,3.952,-1.297,-0.881,0.993,1.03
10201,-0.1,0.0,15.9663,4.3037,11.663,2.576,2.62,-0.334,-0.559,0.994,1.028
10267,0.567,0.133,19.2522,2.1424,17.11,0.519,1.907,-0.187,-0.097,0.939,1.125
10257,0.456,0.133,21.0811,4.6989,16.382,2.396,3.301,-0.049,-0.948,0.961,1.089
10227,0.122,0.133,16.8634,2.9013,13.962,1.893,1.353,-0.322,-0.023,0.99,1.038
10210,-0.1,0.2,24.761,4.2537,20.507,3.242,2.459,-0.701,-0.746,0.987,1.054
10231,0.233,0.0,17.9558,6.6046,11.351,3.613,4.426,-0.514,-0.92,0.988,1.038
10244,0.344,0.067,11.492,-1.7086,13.201,-1.354,-1.04,0.38,0.305,0.978,1.057
10228,0.122,0.155,17.0853,1.9672,15.118,1.275,0.767,-0.16,0.085,0.989,1.042
10272,0.678,0.022,18.4073,4.1821,14.225,3.301,2.521,-0.674,-0.966,0.91,1.166
10298,0.9,0.155,-7.8536,5.1147,-12.968,2.374,4.226,-0.948,-0.537,0.813,1.277
10278,0.678,0.155,17.0004,-0.6336,17.634,-1.156,0.919,-0.173,-0.223,0.908,1.175
10261,0.567,0.0,15.7239,1.1838,14.54,2.485,-0.465,-0.863,0.027,0.942,1.116
10204,-0.1,0.067,17.0953,4.4169,12.678,2.4,3.114,-0.174,-0.923,0.994,1.031
10291,0.9,0.0,-21.4152,-2.5402,-18.875,-4.069,1.644,0.71,-0.825,0.807,1.276
10255,0.456,0.089,16.5882,1.6752,14.913,0.557,0.301,0.368,0.45,0.962,1.084
10205,-0.1,0.089,17.9421,4.4799,13.462,2.42,3.434,-0.178,-1.196,0.993,1.033
10216,0.011,0.111,16.4364,3.2286,13.208,1.733,1.839,0.012,-0.355,0.993,1.032
10277,0.678,0.133,16.1175,-0.6208,16.738,-1.697,0.693,0.247,0.136,0.909,1.173
10300,0.9,0.2,-7.2293,2.2993,-9.529,0.204,3.189,-0.432,-0.662,0.816,1.278
10259,0.456,0.178,23.5903,5.2143,18.376,2.673,3.949,-0.242,-1.165,0.959,1.096
10232,0.233,0.022,17.9562,6.5188,11.437,3.655,4.328,-0.584,-0.88,0.988,1.038
10276,0.678,0.111,15.0431,-0.9228,15.966,-1.404,-0.029,0.141,0.37,0.909,1.171
10258,0.456,0.155,22.5605,5.2436,17.317,2.574,3.65,-0.039,-0.941,0.96,1.093
10296,0.9,0.111,-12.6788,3.0797,-15.758,3.766,1.057,-1.714,-0.029,0.81,1.277
10283,0.789,0.044,11.3536,-0.4207,11.774,0.152,-1.387,0.389,0.425,0.866,1.234
10270,0.567,0.2,22.769,2.6304,20.139,1.297,1.745,-0.199,-0.213,0.936,1.135
10218,0.011,0.155,18.6048,3.0468,15.558,2.214,0.981,-0.396,0.248,0.991,1.039
10242,0.344,0.022,8.78,-3.7774,12.557,-1.98,-2.721,0.138,0.785,0.978,1.055
10282,0.789,0.022,13.5868,2.0469,11.54,3.109,-1.057,-0.545,0.54,0.866,1.233
10230,0.122,0.2,18.7426,0.849,17.894,0.724,0.02,-0.143,0.248,0.987,1.051
10245,0.344,0.089,13.5921,-0.1622,13.754,-0.583,-0.029,0.328,0.123,0.977,1.059
10295,0.9,0.089,-16.6158,0.2385,-16.854,0.924,-1.356,-0.268,0.937,0.809,1.276
10220,0.011,0.2,21.4488,2.8477,18.601,2.522,0.362,-0.615,0.579,0.989,1.049
10235,0.233,0.089,18.0644,5.3439,12.72,3.507,3.601,-0.887,-0.878,0.987,1.042
10240,0.233,0.2,19.3726,1.3452,18.027,0.922,0.957,-0.473,-0.06,0.981,1.06
10292,0.9,0.022,-21.2253,-2.4793,-18.746,-3.555,-0.042,0.792,0.326,0.808,1.276
10214,0.011,0.067,15.1428,3.5364,11.606,1.656,2.068,0.153,-0.341,0.995,1.028
10247,0.344,0.133,18.1381,2.822,15.316,1.392,1.858,-0.188,-0.24,0.975,1.064
10203,-0.1,0.044,16.4733,4.3583,12.115,2.46,2.833,-0.232,-0.703,0.994,1.029
10226,0.122,0.111,16.9813,4.0115,12.97,2.696,2.133,-0.58,-0.238,0.991,1.035
10289,0.789,0.178,17.4776,1.3361,16.141,-0.875,2.142,0.347,-0.277,0.866,1.24
10274,0.678,0.067,15.3873,0.5743,14.813,-0.029,0.451,0.082,0.07,0.91,1.168
10263,0.567,0.044,15.738,0.9058,14.832,1.319,0.598,-0.381,-0.63,0.942,1.117
10299,0.9,0.178,-7.3794,3.9378,-11.317,1.197,3.964,-0.596,-0.627,0.814,1.278
10256,0.456,0.111,19.0631,3.4834,15.58,1.634,2.027,0.136,-0.313,0.962,1.087
10237,0.233,0.133,18.32,3.9241,14.396,2.832,2.762,-0.94,-0.73,0.985,1.048
10217,0.011,0.133,17.4193,3.1268,14.292,1.973,1.38,-0.205,-0.021,0.992,1.036
10271,0.678,0.0,19.1135,4.9622,14.151,5.307,2.342,-2.107,-0.58,0.91,1.166
10260,0.456,0.2,24.0693,4.5176,19.552,2.685,3.257,-0.548,-0.876,0.957,1.1
10248,0.344,0.155,19.9427,3.6317,16.311,2.484,2.571,-0.855,-0.568,0.974,1.068
10209,-0.1,0.178,23.145,4.4412,18.704,3.112,2.835,-0.592,-0.913,0.989,1.048
10268,0.567,0.155,20.4495,2.4442,18.005,0.342,2.34,0.051,-0.289,0.938,1.128
