 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS=-0.100 a1= 0.000 a3= 0.000 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 -.100 0.000  15.9663  4.3037 11.663   2.576   2.620  -0.334  -0.559 0.994  1.028
 -.100 0.005  15.9728  4.3045 11.668   2.574   2.623  -0.332  -0.560 0.994  1.028
 -.100 0.010  15.9922  4.3066 11.686   2.568   2.631  -0.327  -0.565 0.994  1.028
 -.100 0.015  16.0246  4.3103 11.714   2.558   2.644  -0.318  -0.573 0.994  1.028
 -.100 0.020  16.0699  4.3153 11.755   2.546   2.662  -0.307  -0.585 0.994  1.028
 -.100 0.025  16.1280  4.3218 11.806   2.531   2.686  -0.294  -0.601 0.994  1.029
 -.100 0.030  16.1987  4.3294 11.869   2.514   2.715  -0.279  -0.620 0.994  1.029
 -.100 0.035  16.2821  4.3382 11.944   2.495   2.750  -0.263  -0.645 0.994  1.029
 -.100 0.040  16.3783  4.3485 12.030   2.477   2.792  -0.246  -0.674 0.994  1.029
 -.100 0.045  16.4869  4.3597 12.127   2.458   2.839  -0.230  -0.708 0.994  1.029
 -.100 0.050  16.6077  4.3718 12.236   2.441   2.892  -0.214  -0.748 0.994  1.030
 -.100 0.055  16.7410  4.3848 12.356   2.425   2.952  -0.199  -0.793 0.994  1.030
 -.100 0.060  16.8860  4.3983 12.488   2.412   3.018  -0.187  -0.845 0.994  1.030
 -.100 0.065  17.0427  4.4124 12.630   2.402   3.090  -0.177  -0.903 0.994  1.031
 -.100 0.070  17.2107  4.4265 12.784   2.396   3.168  -0.169  -0.968 0.993  1.031
 -.100 0.075  17.3902  4.4410 12.949   2.395   3.251  -0.166  -1.039 0.993  1.032
 -.100 0.080  17.5807  4.4554 13.125   2.399   3.339  -0.166  -1.116 0.993  1.032
 -.100 0.085  17.7820  4.4695 13.312   2.409   3.426  -0.171  -1.194 0.993  1.033
 -.100 0.090  17.9940  4.4832 13.511   2.425   3.437  -0.181  -1.197 0.993  1.033
 -.100 0.095  18.2178  4.4963 13.721   2.448   3.453  -0.196  -1.208 0.993  1.034
 -.100 0.100  18.4501  4.5085 13.942   2.478   3.473  -0.217  -1.226 0.993  1.035
 -.100 0.105  18.6925  4.5200 14.172   2.516   3.498  -0.244  -1.250 0.992  1.035
 -.100 0.110  18.9445  4.5302 14.414   2.562   3.526  -0.278  -1.281 0.992  1.036
 -.100 0.115  19.2061  4.5394 14.667   2.617   3.557  -0.318  -1.317 0.992  1.037
 -.100 0.120  19.4746  4.5461 14.928   2.681   3.591  -0.366  -1.359 0.992  1.037
 -.100 0.125  19.7535  4.5513 15.202   2.753   3.627  -0.422  -1.407 0.992  1.038
 -.100 0.130  20.0409  4.5544 15.487   2.834   3.666  -0.486  -1.459 0.991  1.039
 -.100 0.135  20.3368  4.5556 15.781   2.924   3.683  -0.558  -1.494 0.991  1.040
 -.100 0.140  20.6412  4.5549 16.086   3.024   3.585  -0.638  -1.416 0.991  1.041
 -.100 0.145  20.9531  4.5514 16.402   3.033   3.485  -0.627  -1.340 0.991  1.042
 -.100 0.150  21.2726  4.5453 16.727   3.029   3.384  -0.604  -1.264 0.990  1.043
 -.100 0.155  21.5985  4.5356 17.063   3.032   3.282  -0.586  -1.192 0.990  1.044
 -.100 0.160  21.9307  4.5220 17.409   3.041   3.180  -0.576  -1.123 0.990  1.045
 -.100 0.165  22.2688  4.5045 17.764   3.055   3.079  -0.573  -1.057 0.990  1.046
 -.100 0.170  22.6125  4.4829 18.130   3.075   2.980  -0.576  -0.996 0.989  1.047
 -.100 0.175  22.9615  4.4567 18.505   3.098   2.884  -0.585  -0.940 0.989  1.048
 -.100 0.180  23.3156  4.4258 18.890   3.125   2.791  -0.600  -0.890 0.989  1.049
 -.100 0.185  23.6743  4.3901 19.284   3.154   2.701  -0.620  -0.845 0.988  1.050
 -.100 0.190  24.0378  4.3492 19.689   3.184   2.615  -0.644  -0.806 0.988  1.051
 -.100 0.195  24.4051  4.3032 20.102   3.214   2.533  -0.672  -0.772 0.988  1.052
 -.100 0.200  24.7759  4.2515 20.524   3.243   2.456  -0.703  -0.745 0.987  1.054
 -.090 0.000  16.2457  4.7157 11.530   3.081   2.907  -0.608  -0.664 0.995  1.028
 -.090 0.005  16.2517  4.7160 11.536   3.080   2.909  -0.608  -0.666 0.995  1.028
 -.090 0.010  16.2695  4.7167 11.553   3.076   2.917  -0.605  -0.672 0.995  1.028
 -.090 0.015  16.2992  4.7180 11.581   3.063   2.930  -0.594  -0.682 0.995  1.028
 -.090 0.020  16.3408  4.7198 11.621   3.046   2.949  -0.579  -0.696 0.994  1.028
 -.090 0.025  16.3942  4.7221 11.672   3.026   2.973  -0.562  -0.715 0.994  1.028
 -.090 0.030  16.4593  4.7247 11.735   3.004   3.003  -0.543  -0.739 0.994  1.028
 -.090 0.035  16.5360  4.7276 11.808   2.980   3.039  -0.524  -0.768 0.994  1.028
 -.090 0.040  16.6240  4.7306 11.893   2.956   3.080  -0.504  -0.802 0.994  1.029
 -.090 0.045  16.7238  4.7341 11.990   2.933   3.128  -0.484  -0.842 0.994  1.029
 -.090 0.050  16.8341  4.7368 12.097   2.909   3.181  -0.466  -0.888 0.994  1.029
 -.090 0.055  16.9561  4.7401 12.216   2.889   3.241  -0.449  -0.940 0.994  1.030
 -.090 0.060  17.0891  4.7431 12.346   2.870   3.306  -0.435  -0.998 0.994  1.030
 -.090 0.065  17.2329  4.7458 12.487   2.855   3.376  -0.424  -1.062 0.994  1.030
 -.090 0.070  17.3873  4.7480 12.639   2.844   3.422  -0.416  -1.102 0.994  1.031
 -.090 0.075  17.5524  4.7499 12.803   2.837   3.424  -0.411  -1.100 0.994  1.031
 -.090 0.080  17.7278  4.7512 12.977   2.835   3.431  -0.411  -1.104 0.993  1.032
 -.090 0.085  17.9140  4.7519 13.162   2.838   3.443  -0.415  -1.114 0.993  1.032
 -.090 0.090  18.1103  4.7520 13.358   2.848   3.460  -0.424  -1.131 0.993  1.033
 -.090 0.095  18.3166  4.7513 13.565   2.864   3.480  -0.439  -1.154 0.993  1.033
 -.090 0.100  18.5335  4.7506 13.783   2.887   3.505  -0.459  -1.182 0.993  1.034
 -.090 0.105  18.7606  4.7492 14.011   2.918   3.532  -0.485  -1.216 0.993  1.035
 -.090 0.110  18.9977  4.7471 14.251   2.956   3.563  -0.518  -1.254 0.992  1.035
 -.090 0.115  19.2453  4.7450 14.500   3.003   3.597  -0.557  -1.298 0.992  1.036
 -.090 0.120  19.5027  4.7421 14.761   3.058   3.632  -0.602  -1.345 0.992  1.037
 -.090 0.125  19.7702  4.7389 15.031   3.121   3.601  -0.655  -1.328 0.992  1.038
 -.090 0.130  20.0475  4.7351 15.312   3.194   3.570  -0.716  -1.313 0.992  1.038
 -.090 0.135  20.3333  4.7294 15.604   3.275   3.547  -0.785  -1.308 0.991  1.039
 -.090 0.140  20.6281  4.7226 15.905   3.365   3.532  -0.862  -1.313 0.991  1.040
 -.090 0.145  20.9318  4.7145 16.217   3.393   3.526  -0.875  -1.329 0.991  1.041
 -.090 0.150  21.2440  4.7049 16.539   3.415   3.527  -0.883  -1.355 0.991  1.042
 -.090 0.155  21.5642  4.6932 16.871   3.447   3.537  -0.900  -1.391 0.990  1.043
