 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS=-0.100 a1= 0.000 a3= 0.000 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 -.100 0.000  15.9663  4.3037 11.663   2.576   2.620  -0.334  -0.559 0.994  1.028
 -.100 0.100  18.4501  4.5085 13.942   2.478   3.473  -0.217  -1.226 0.993  1.035
 -.100 0.200  24.7759  4.2515 20.524   3.243   2.456  -0.703  -0.745 0.987  1.054
 0.000 0.000  14.6959  3.9514 10.745   2.085   2.312  -0.042  -0.403 0.995  1.025
 0.000 0.100  16.2603  3.4515 12.809   1.854   1.923   0.001  -0.327 0.994  1.031
 0.000 0.200  21.8738  3.1277 18.746   2.619   0.649  -0.592   0.452 0.989  1.049
 0.100 0.000  17.6795  7.0680 10.612   5.152   5.009  -1.661  -1.432 0.994  1.027
 0.100 0.100  16.7500  4.2363 12.514   3.528   2.582  -1.299  -0.575 0.992  1.033
 0.100 0.200  18.9911  1.0194 17.972   0.757  -0.299   0.052   0.510 0.987  1.050
 0.200 0.000  19.9592  8.8714 11.088   6.527   6.078  -1.959  -1.774 0.990  1.034
 0.200 0.100  18.5754  5.7166 12.859   4.124   3.600  -1.169  -0.839 0.988  1.040
 0.200 0.200  18.8189  0.8883 17.931   0.371   0.480  -0.155   0.193 0.983  1.056
 0.300 0.000  11.0887 -0.9038 11.993  -1.363  -0.132   0.389   0.202 0.983  1.047
 0.300 0.100  15.5501  1.8977 13.652   0.193   1.989   0.310  -0.594 0.981  1.052
 0.300 0.200  20.8440  2.4477 18.396   0.866   2.110   0.030  -0.559 0.976  1.068
 0.400 0.000   7.8128 -5.2937 13.106  -3.703  -3.434   1.095   0.747 0.972  1.066
 0.400 0.100  16.0553  1.3830 14.672   0.630   0.200   0.227   0.327 0.970  1.072
 0.400 0.200  23.0090  3.8730 19.136   2.561   2.543  -0.655  -0.575 0.965  1.087
